cidade,latitude,longitude,endereco
Sao Paulo,-23.5506506,-46.6333823,"SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, Brasil"
Rio de Janeiro,-22.9110136,-43.2093726,"Rio de Janeiro, Microrregião Rio de Janeiro, Região Metropolitana do Rio de Janeiro, RJ, Região Sudeste, Brasil"
New York City,40.7305991,-73.9865811,"NYC, New York, United States of America"
Boston,42.3604823,-71.0595677,"Boston, Suffolk County, Massachusetts, United States of America"
Las Vegas,36.1662859,-115.1492249,"Las Vegas, Clark County, Nevada, United States of America"
