cidade,latitude,longitude,endereco
Curitiba,-25.4295696,-49.2712361,"Curitiba, Microrregião de Curitiba, RMC, Mesorregião Metropolitana de Curitiba, PR, Região Sul, Brasil"
Recife,-8.064193,-34.8781516,"Recife, Microrregião de Recife, Região Metropolitana de Recife, Mesorregião Metropolitana de Recife, PE, Região Nordeste, Brasil"
